class_name	image_file_name	text	image_path
M58-Encoder?????	aug_0000_20240417131848.jpg	The component is a yellow rectangular plate with multiple holes and a protruding section.	M58-Encoder?????/aug_0000_20240417131848.jpg
M58-Encoder?????	aug_0001_20240417131848.jpg	The component is a yellow rectangular plate with multiple holes and a protruding circular feature.	M58-Encoder?????/aug_0001_20240417131848.jpg
M58-Encoder?????	aug_0002_20240417131848.jpg	"The component is a yellow, flat piece with various holes and a protruding circular section."	M58-Encoder?????/aug_0002_20240417131848.jpg
M58-Encoder?????	aug_0003_20240417132102.jpg	"The industrial component is a yellow, angular bracket with multiple holes and a protruding section."	M58-Encoder?????/aug_0003_20240417132102.jpg
M58-Encoder?????	aug_0004_20240417132102.jpg	The component is a yellow L-shaped bracket with multiple holes for mounting and a protruding tab on one side.	M58-Encoder?????/aug_0004_20240417132102.jpg
M58-Encoder?????	aug_0005_20240417132102.jpg	The component is a yellow L-shaped bracket with multiple holes and a protruding tab.	M58-Encoder?????/aug_0005_20240417132102.jpg
M58-Encoder?????	aug_0006_20240417132101.jpg	The component is a yellow L-shaped bracket with multiple holes for mounting and a protruding circular feature.	M58-Encoder?????/aug_0006_20240417132101.jpg
M58-Encoder?????	aug_0007_20240417132101.jpg	The component is a yellow L-shaped bracket with multiple holes and a protruding circular feature.	M58-Encoder?????/aug_0007_20240417132101.jpg
M58-Encoder?????	aug_0008_20240417132101.jpg	The component is a yellow L-shaped bracket with multiple holes and a protruding circular feature.	M58-Encoder?????/aug_0008_20240417132101.jpg
M58-Encoder?????	aug_0009_20240417132014.jpg	"The component is a yellow metal plate with various holes and slots, featuring a protruding section on one side."	M58-Encoder?????/aug_0009_20240417132014.jpg
M58-Encoder?????	aug_0010_20240417132014.jpg	"The component is a yellow metal plate with various holes and slots, featuring a protruding section on one side."	M58-Encoder?????/aug_0010_20240417132014.jpg
M58-Encoder?????	aug_0011_20240417132014.jpg	"The component is a yellow metal plate with various holes and slots, featuring a protruding section on one side."	M58-Encoder?????/aug_0011_20240417132014.jpg
M58-Encoder?????	aug_0012_20240417131943.jpg	"The component is a yellow, flat piece with various holes and slots, featuring a protruding section on one side."	M58-Encoder?????/aug_0012_20240417131943.jpg
M58-Encoder?????	aug_0013_20240417131943.jpg	"The component is a yellow, angular piece with multiple holes and a protruding section on one side."	M58-Encoder?????/aug_0013_20240417131943.jpg
M58-Encoder?????	aug_0014_20240417131943.jpg	"The component is a yellow, angular piece with various holes and a protruding section on one side."	M58-Encoder?????/aug_0014_20240417131943.jpg
M58-Encoder?????	aug_0015_20240417131834.jpg	"The component is a yellow, rectangular box with various holes and a protruding tab on one side."	M58-Encoder?????/aug_0015_20240417131834.jpg
M58-Encoder?????	aug_0016_20240417131834.jpg	"The component is a yellow, rectangular box with various holes and a protruding section on one side."	M58-Encoder?????/aug_0016_20240417131834.jpg
M58-Encoder?????	aug_0017_20240417131834.jpg	"The component is a yellow, rectangular box with various holes and a protruding section on one side."	M58-Encoder?????/aug_0017_20240417131834.jpg
M58-Encoder?????	aug_0018_20240417132037.jpg	The component is a yellow L-shaped bracket with multiple holes and a protruding tab.	M58-Encoder?????/aug_0018_20240417132037.jpg
M58-Encoder?????	aug_0019_20240417132037.jpg	"The component is a yellow plastic piece with a rectangular shape, featuring multiple holes and a protruding tab on one side."	M58-Encoder?????/aug_0019_20240417132037.jpg
M58-Encoder?????	aug_0020_20240417132037.jpg	The component is a yellow L-shaped bracket with multiple holes and a small protrusion on the top right.	M58-Encoder?????/aug_0020_20240417132037.jpg
M58-Encoder?????	aug_0021_20240417132115.jpg	The component is a yellow L-shaped bracket with multiple holes for mounting and a protruding flat section.	M58-Encoder?????/aug_0021_20240417132115.jpg
M58-Encoder?????	aug_0022_20240417132115.jpg	The component is a yellow L-shaped bracket with multiple holes for mounting and a protruding flat section.	M58-Encoder?????/aug_0022_20240417132115.jpg
M58-Encoder?????	aug_0023_20240417132115.jpg	The component is a yellow L-shaped bracket with multiple holes and a protruding tab.	M58-Encoder?????/aug_0023_20240417132115.jpg
M58-Encoder?????	aug_0024_20240417131957.jpg	"The component is a flat, L-shaped piece with multiple holes and slots for mounting or securing."	M58-Encoder?????/aug_0024_20240417131957.jpg
M58-Encoder?????	aug_0025_20240417131957.jpg	"The component is a flat, L-shaped piece with multiple holes and slots for mounting or securing."	M58-Encoder?????/aug_0025_20240417131957.jpg
M58-Encoder?????	aug_0026_20240417131957.jpg	"The component is a flat, L-shaped piece with multiple holes and slots for mounting or securing parts."	M58-Encoder?????/aug_0026_20240417131957.jpg
M58-Encoder?????	aug_0027_20240417132119.jpg	The component is a yellow L-shaped bracket with multiple holes for mounting and a protruding flat surface.	M58-Encoder?????/aug_0027_20240417132119.jpg
M58-Encoder?????	aug_0028_20240417132119.jpg	The component is a yellow L-shaped bracket with multiple holes for mounting and a protruding rectangular section.	M58-Encoder?????/aug_0028_20240417132119.jpg
M58-Encoder?????	aug_0029_20240417132119.jpg	"The component is a rectangular, angled piece with multiple holes and a protruding circular feature."	M58-Encoder?????/aug_0029_20240417132119.jpg
M58-Encoder?????	aug_0030_20240417131907.jpg	The component is a yellow triangular plate with multiple holes and a protruding section.	M58-Encoder?????/aug_0030_20240417131907.jpg
M58-Encoder?????	aug_0031_20240417131907.jpg	The component is a yellow triangular plate with multiple holes and a protruding section.	M58-Encoder?????/aug_0031_20240417131907.jpg
M58-Encoder?????	aug_0032_20240417131907.jpg	"The component is a yellow, rectangular piece with multiple holes and a protruding section."	M58-Encoder?????/aug_0032_20240417131907.jpg
M58-Encoder?????	aug_0033_20240417131921.jpg	"The component is a yellow plastic piece with various holes and slots, featuring a protruding tab on the right side."	M58-Encoder?????/aug_0033_20240417131921.jpg
M58-Encoder?????	aug_0034_20240417131921.jpg	The component is a yellow rectangular plate with various holes and a protruding section on the right side.	M58-Encoder?????/aug_0034_20240417131921.jpg
M58-Encoder?????	aug_0035_20240417131921.jpg	"The component is a yellow plastic piece with a rectangular shape, featuring multiple holes and a protruding tab on one side."	M58-Encoder?????/aug_0035_20240417131921.jpg
M58-Encoder?????	aug_0036_20240417132017.jpg	"The component is a flat, angular piece with multiple holes and a protruding section on one side."	M58-Encoder?????/aug_0036_20240417132017.jpg
M58-Encoder?????	aug_0037_20240417132017.jpg	"The component is a flat, L-shaped piece with multiple holes and a protruding section."	M58-Encoder?????/aug_0037_20240417132017.jpg
M58-Encoder?????	aug_0038_20240417132017.jpg	"The component is a flat, angular piece with multiple holes and a protruding section on one side."	M58-Encoder?????/aug_0038_20240417132017.jpg
M58-Encoder?????	aug_0039_20240417132104.jpg	The industrial component is a rectangular yellow plate with multiple holes and a protruding section on one side.	M58-Encoder?????/aug_0039_20240417132104.jpg
M58-Encoder?????	aug_0040_20240417132104.jpg	The component is a yellow L-shaped bracket with multiple holes for mounting and a protruding flat surface.	M58-Encoder?????/aug_0040_20240417132104.jpg
M58-Encoder?????	aug_0041_20240417132104.jpg	"The component is a yellow, rectangular housing with multiple holes and a protruding section on one side."	M58-Encoder?????/aug_0041_20240417132104.jpg
M58-Encoder?????	aug_0042_20240417131949.jpg	"The industrial component is a yellow, angular housing with multiple holes and a protruding section on one side."	M58-Encoder?????/aug_0042_20240417131949.jpg
M58-Encoder?????	aug_0043_20240417131949.jpg	"The component is a yellow, angular piece with multiple holes and slots, featuring a protruding section on one side."	M58-Encoder?????/aug_0043_20240417131949.jpg
M58-Encoder?????	aug_0044_20240417131949.jpg	"The component is a yellow, rectangular plate with various holes and slots, featuring a protruding section on the right side."	M58-Encoder?????/aug_0044_20240417131949.jpg
M58-Encoder?????	aug_0045_20240417131843.jpg	"The component is a flat, yellow piece with various holes and a protruding oval section."	M58-Encoder?????/aug_0045_20240417131843.jpg
M58-Encoder?????	aug_0046_20240417131843.jpg	The component is a yellow plastic piece with various holes and a protruding tab on one side.	M58-Encoder?????/aug_0046_20240417131843.jpg
M58-Encoder?????	aug_0047_20240417131843.jpg	"The component is a yellow, flat piece with various holes and a protruding tab on one side."	M58-Encoder?????/aug_0047_20240417131843.jpg
M58-Encoder?????	aug_0048_20240417132055.jpg	The component is a yellow L-shaped bracket with multiple holes for mounting and a protruding tab on one side.	M58-Encoder?????/aug_0048_20240417132055.jpg
M58-Encoder?????	aug_0049_20240417132055.jpg	The component is a yellow L-shaped bracket with multiple holes for mounting and a protruding tab on one side.	M58-Encoder?????/aug_0049_20240417132055.jpg
M58-Encoder?????	aug_0050_20240417132055.jpg	The component is a yellow L-shaped bracket with multiple holes and a protruding tab.	M58-Encoder?????/aug_0050_20240417132055.jpg
M58-Encoder?????	aug_0051_20240417132112.jpg	The component is a yellow L-shaped bracket with multiple holes and a protruding rectangular section.	M58-Encoder?????/aug_0051_20240417132112.jpg
M58-Encoder?????	aug_0052_20240417132112.jpg	The component is a yellow L-shaped bracket with multiple holes and a protruding circular feature.	M58-Encoder?????/aug_0052_20240417132112.jpg
M58-Encoder?????	aug_0053_20240417132112.jpg	The component is a yellow L-shaped bracket with multiple holes and a protruding circular feature.	M58-Encoder?????/aug_0053_20240417132112.jpg
M58-Encoder?????	aug_0054_20240417131906.jpg	"The component is a yellow, angled plate with multiple holes and a protruding section."	M58-Encoder?????/aug_0054_20240417131906.jpg
M58-Encoder?????	aug_0055_20240417131906.jpg	"The component is a yellow, angled plate with multiple holes and a protruding section."	M58-Encoder?????/aug_0055_20240417131906.jpg
M58-Encoder?????	aug_0056_20240417131906.jpg	"The component is a yellow, angled piece with multiple holes and a protruding section."	M58-Encoder?????/aug_0056_20240417131906.jpg
M58-Encoder?????	aug_0057_20240417132058.jpg	The component is a yellow rectangular block with multiple holes and a protruding section on one side.	M58-Encoder?????/aug_0057_20240417132058.jpg
M58-Encoder?????	aug_0058_20240417132058.jpg	"The component is a rectangular, yellow piece with multiple holes and a protruding section."	M58-Encoder?????/aug_0058_20240417132058.jpg
M58-Encoder?????	aug_0059_20240417132058.jpg	The component is a rectangular yellow piece with multiple holes and a protruding section.	M58-Encoder?????/aug_0059_20240417132058.jpg
M58-Encoder?????	aug_0060_20240417131933.jpg	"The component is a yellow, rectangular piece with various holes and a protruding section on one side."	M58-Encoder?????/aug_0060_20240417131933.jpg
M58-Encoder?????	aug_0061_20240417131933.jpg	"The component is a yellow, angular piece with multiple holes and a protruding section on one side."	M58-Encoder?????/aug_0061_20240417131933.jpg
M58-Encoder?????	aug_0062_20240417131933.jpg	"The component is a yellow, angular piece with various holes and a protruding section on one side."	M58-Encoder?????/aug_0062_20240417131933.jpg
M58-Encoder?????	aug_0063_20240417131924.jpg	"The component is a yellow, angular plate with various holes and slots, featuring two oval cutouts and a protruding section on one side."	M58-Encoder?????/aug_0063_20240417131924.jpg
M58-Encoder?????	aug_0064_20240417131924.jpg	"The component is a yellow, angular plate with various holes and a protruding section on one side."	M58-Encoder?????/aug_0064_20240417131924.jpg
M58-Encoder?????	aug_0065_20240417131924.jpg	"The component is a yellow, angular plate with various holes and slots, featuring a protruding section on one side."	M58-Encoder?????/aug_0065_20240417131924.jpg
